X1,X2,Y1,Y2
670.1151133,431.9,0,0
670.1151133,431.9,-0.1,0.04
670.1151133,432,-0.2,0
670.1151133,432.2,-0.3,0.04
670.1151133,432.5,-0.4,0
670.0351133,432.9,-0.5,0.04
669.9951133,433.4,-0.6,0
669.9951133,434,-0.7,0.04
669.9551133,434.7,-0.8,0
669.9551133,435.5,-0.9,0.04
669.9151133,436.4,-1,0
669.9151133,437.4,-1.1,0.04
669.8751133,438.5,-1.2,0
669.8751133,439.7,-1.3,0.04
669.8351133,441,-1.4,0
669.8351133,442.4,-1.5,0.04
669.7951133,443.9,-1.4,0
669.7951133,445.3,-1.3,0.04
669.7551133,446.6,-1.2,0
669.7551133,447.8,-1.1,0.04
669.7151133,448.9,-1,0
669.7151133,449.9,-0.9,0.04
669.6751133,450.8,-0.8,0
669.6751133,451.6,-0.7,0.04
669.6351133,452.3,-0.8,0
669.6351133,453.1,-0.9,0.04
669.5951133,454,-1,0
669.5951133,455,-1.1,0.04
669.5551133,456.1,-1.2,0
669.5551133,457.3,-1.3,0.04
669.5151133,458.6,-1.4,0
669.5151133,460,-1.5,0.04
669.4751133,461.5,-1.6,0
669.4751133,463.1,-1.7,0.04
669.4351133,464.8,-1.8,0
669.4351133,466.6,-1.7,0.04
669.3951133,468.3,-1.6,0
669.3951133,469.9,-1.5,0.04
669.3551133,471.4,-1.4,0
669.3551133,472.8,-1.3,0.04
669.3151133,474.1,-1.2,0
669.3151133,475.3,-1.1,0.04
669.2751133,476.4,-1,0
669.2751133,477.4,-0.9,0.04
669.2351133,478.3,-0.8,0
669.2351133,479.1,-0.7,0.04
669.1951133,479.8,-0.6,0
669.1951133,480.4,-0.5,0.04
669.1551133,480.9,-0.598904379,0.020905693
669.1342076,481.4989044,-0.696957993,0.008740313
669.1254673,482.1958624,-0.795011607,-0.003425067
669.1288924,482.990874,-0.89306522,0.064409553
669.0644828,483.8839392,-0.991118834,0.052244173
669.0122387,484.875058,-1.089172448,0.040078794
668.9721599,485.9642305,-1.187226062,0.027913414
668.9442464,487.1514565,-1.285279675,0.015748034
668.9284984,488.4367362,-1.383333289,0.003582654
668.9249158,489.8200695,-1.48029484,-0.00168771
668.9266035,491.3003643,-1.57592436,0.079894628
668.8467088,492.8762887,-1.669983505,0.088279007
668.7584298,494.5462722,-1.762235844,0.103406478
668.6550234,496.3085081,-1.852447148,0.125209877
668.5298135,498.1609552,-1.940385672,0.153613906
668.3761996,500.1013409,-2.025822443,0.188535224
